,teamA,teamB,map,scoreTeamA,scoreTeamB
486,Players,Stone,Dust2,3,16
487,Players,Stone,Overpass,6,16
488,Cryptova,Entropiq Prague,Mirage,16,12
489,Cryptova,Entropiq Prague,Overpass,5,16
490,Cryptova,Entropiq Prague,Inferno,16,14
491,Honved,BEE,Mirage,12,16
492,Honved,BEE,Overpass,16,14
493,Honved,BEE,Dust2,16,10
494,Honved,BEE,Inferno,13,16
495,Honved,BEE,Nuke,13,16
496,Complexity,Movistar Riders,Default,1,0
497,SAW,Sprout,Inferno,17,19
498,SAW,Sprout,Ancient,16,12
499,SAW,Sprout,Vertigo,16,14
500,Daotsu,Los Grandes,Dust2,2,16
501,Meta BR,Boca Juniors,Inferno,16,1
502,Entropiq,Movistar Riders,Overpass,16,13
503,Entropiq,Movistar Riders,Vertigo,9,16
504,Entropiq,Movistar Riders,Ancient,9,16
505,1WIN,Falcons,Vertigo,16,14
506,1WIN,Falcons,Nuke,9,16
507,1WIN,Falcons,Dust2,8,16
508,ENCE,MOUZ,Mirage,13,16
509,ENCE,MOUZ,Nuke,16,8
510,ENCE,MOUZ,Overpass,16,4
511,Rehl,MIBR Academy,Overpass,16,13
512,Anonymo,Tricked,Nuke,17,19
513,Anonymo,Tricked,Mirage,16,11
514,Anonymo,Tricked,Overpass,12,16
515,SWS,Redragon,Dust2,14,16
516,forZe,9z,Mirage,16,14
517,forZe,9z,Dust2,16,9
518,Enterprise,Finest,Dust2,11,16
519,Enterprise,Finest,Inferno,16,14
520,Enterprise,Finest,Mirage,16,5
521,ARCTIC,Stars Horizon,Ancient,16,10
522,The Union,UNO MILLE,Mirage,9,16
523,MOUZ NXT,FURIA Academy,Inferno,10,16
524,MOUZ NXT,FURIA Academy,Nuke,9,16
525,AGO,1DayHeroes,Mirage,16,4
526,AGO,1DayHeroes,Dust2,16,10
527,UNGENTIUM,GTZ Bulls,Dust2,16,5
528,UNGENTIUM,GTZ Bulls,Vertigo,16,8
529,BIG,FaZe,Dust2,16,14
530,BIG,FaZe,Nuke,11,16
531,BIG,FaZe,Overpass,16,12
532,Tricked,B8,Overpass,16,19
533,Tricked,B8,Nuke,16,6
534,Tricked,B8,Vertigo,16,12
535,BIG Academy,fnatic Rising,Vertigo,16,13
536,BIG Academy,fnatic Rising,Mirage,16,9
537,IHC,NKT,Inferno,16,12
538,IHC,NKT,Nuke,8,16
539,IHC,NKT,Dust2,16,10
540,Cloud9,Astralis,Overpass,16,7
541,Cloud9,Astralis,Mirage,16,7
542,forZe,SINNERS,Overpass,16,7
543,forZe,SINNERS,Nuke,16,4
544,CatEvil,NEXGA,Nuke,16,11
545,CatEvil,NEXGA,Inferno,16,9
546,ARAVT,Rare Atom,Ancient,8,16
547,ARAVT,Rare Atom,Vertigo,4,16
548,OS,Born in Mongolia,Default,1,0
549,Nexus,Anonymo,Vertigo,14,16
550,Nexus,Anonymo,Ancient,16,5
551,Nexus,Anonymo,Nuke,12,16
552,ATK,Gaimin Gladiators,Inferno,16,14
553,ATK,Gaimin Gladiators,Mirage,17,19
554,ATK,Gaimin Gladiators,Ancient,16,13
555,Snakes Den,Counter Nature,Overpass,16,10
556,Snakes Den,Counter Nature,Mirage,16,13
557,Mythic,Brazen,Inferno,16,5
558,Mythic,Brazen,Mirage,12,16
559,Mythic,Brazen,Overpass,16,13
560,BHOP,Strife,Inferno,16,9
561,BHOP,Strife,Nuke,9,16
562,BHOP,Strife,Overpass,16,9
563,Northern Forces,Take Flyte,Nuke,16,12
564,Northern Forces,Take Flyte,Vertigo,16,6
565,Vexo Purple,Detonate,Inferno,8,16
566,Vexo Purple,Detonate,Mirage,14,16
567,paiN,EG.CD,Overpass,16,5
568,paiN,EG.CD,Nuke,16,7
569,B4,Boca Juniors,Vertigo,12,16
570,Redragon,Isurus,Overpass,16,12
571,Players,Meta BR,Nuke,16,19
572,Los Grandes,Stone,Overpass,16,7
573,The Union,SWS,Inferno,16,8
574,MIBR Academy,UNO MILLE,Nuke,13,16
575,FLET,Iron Branch,Dust2,3,16
576,FLET,Iron Branch,Mirage,16,12
577,FLET,Iron Branch,Nuke,16,7
578,FTW,1PIN,Ancient,17,19
579,FTW,1PIN,Vertigo,16,14
580,FTW,1PIN,Inferno,9,16
581,ONYX,Illes Spirit,Mirage,16,7
582,ONYX,Illes Spirit,Nuke,16,19
583,ONYX,Illes Spirit,Vertigo,12,16
584,ONYX,Illes Spirit,Overpass,16,7
585,ONYX,Illes Spirit,Inferno,16,10
586,Movistar Riders,Falcons,Inferno,13,16
587,Movistar Riders,Falcons,Mirage,16,14
588,Movistar Riders,Falcons,Overpass,17,19
589,Daotsu,ARCTIC,Overpass,14,16
590,Enterprise,MOUZ NXT,Inferno,19,15
591,Enterprise,MOUZ NXT,Nuke,8,16
592,Enterprise,MOUZ NXT,Mirage,2,16
593,Sprout,SINNERS,Inferno,16,12
594,Sprout,SINNERS,Overpass,11,16
595,Sprout,SINNERS,Vertigo,16,5
596,Rehl,Stars Horizon,Overpass,5,16
597,SKADE,ROYALS,Dust2,16,11
598,SKADE,ROYALS,Mirage,12,16
599,SKADE,ROYALS,Overpass,16,14
600,Apeks,Tricked,Nuke,16,12
601,Apeks,Tricked,Mirage,16,7
